Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.15,Tor.com,ebook,144,2017,2017,,2023/08/12,to-read,to-read (#78),to-read,,,,0,0
40121985,How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,"Immerwahr, Daniel",,"=""0374172145""","=""9780374172145""",0,4.46,"Farrar, Straus and Giroux",Hardcover,513,2019,2019,,2023/08/11,to-read,to-read (#77),to-read,,,,0,0
7988467,"We, the Drowned",Carsten Jensen,"Jensen, Carsten","Charlotte Barslund, Emma Ryder","=""0151013772""","=""9780151013777""",0,4.24,Houghton Mifflin Harcourt,Hardcover,678,2011,2006,,2023/08/11,to-read,to-read (#76),to-read,,,,0,0
90619,"Little, Big",John Crowley,"Crowley, John",,"=""0061120057""","=""9780061120053""",0,3.81,Harper Collins Publishers,Paperback,538,2006,1981,,2023/08/11,to-read,to-read (#75),to-read,,,,0,0
13624,The Worm Ouroboros,E.R. Eddison,"Eddison, E.R.",Keith   Henderson,"=""0486447405""","=""9780486447407""",0,3.70,Dover Publications,Paperback,446,2006,1922,,2023/08/11,to-read,to-read (#74),to-read,,,,0,0
700919,Signal to Noise,Eric S. Nylund,"Nylund, Eric S.",,"=""0380792923""","=""9780380792924""",0,4.07,Harper Voyager,Mass Market Paperback,371,1999,1998,,2023/08/11,to-read,to-read (#73),to-read,,,,0,0
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",0,4.38,Pantheon Books,Hardcover,159,1991,1986,,2023/08/11,,,read,,,,1,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.26,Pantheon,Paperback,153,2004,2003,,2023/08/11,to-read,to-read (#72),to-read,,,,0,0
59808269,Mistakes Were Made,Meryl Wilsner,"Wilsner, Meryl",,"=""1250841003""","=""9781250841001""",0,3.95,Griffin,Paperback,352,2022,2022,,2023/08/11,to-read,to-read (#71),to-read,,,,0,0
35412372,Freshwater,Akwaeke Emezi,"Emezi, Akwaeke",,"=""0802127355""","=""9780802127358""",0,4.02,Grove Press,Hardcover,229,2018,2018,,2023/08/11,to-read,to-read (#70),to-read,,,,0,0
59336625,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456998""","=""9781609456993""",0,3.72,Europa Editions,Hardcover,224,2022,2011,,2023/08/09,to-read,to-read (#69),to-read,,,,0,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.26,Small Beer Press,ebook,281,2010,2002,,2023/08/08,to-read,to-read (#68),to-read,,,,0,0
5312123,"The Warrior's Path (When Women Were Warriors, #1)",Catherine M. Wilson,"Wilson, Catherine M.",,"=""0981563619""","=""9780981563619""",0,4.04,Shield Maiden Press,Paperback,272,2008,2008,,2023/08/08,to-read,to-read (#67),to-read,,,,0,0
61884779,The Salt Grows Heavy,Cassandra Khaw,"Khaw, Cassandra",,"=""1250830915""","=""9781250830913""",0,3.60,Tor Nightfire,Hardcover,106,2023,2023,,2023/08/08,to-read,to-read (#66),to-read,,,,0,0
61884840,The Sea Elephants,Shastri Akella,"Akella, Shastri",,"=""1250867053""","=""9781250867056""",0,3.79,Flatiron Books,Hardcover,384,2023,2023,,2023/08/07,to-read,to-read (#65),to-read,,,,0,0
55711706,Everyone in This Room Will Someday Be Dead,Emily R. Austin,"Austin, Emily R.",,"=""1982167351""","=""9781982167356""",0,3.86,Atria Books,Hardcover,256,2021,2021,,2023/08/07,to-read,to-read (#64),to-read,,,,0,0
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",0,3.60,Granta Books,Hardcover,247,2020,2018,,2023/08/07,to-read,to-read (#63),to-read,,,,0,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",0,3.69,Portobello Books,Paperback,163,2018,2016,,2023/08/07,to-read,to-read (#62),to-read,,,,0,0
58523626,Y/N,Esther Yi,"Yi, Esther",,"=""1662601549""","=""9781662601545""",0,2.96,Astra House,Kindle Edition,204,2023,2023,,2023/08/07,to-read,to-read (#61),to-read,,,,0,0
48564330,Betty,Tiffany   McDaniel,"McDaniel, Tiffany",,"=""052565707X""","=""9780525657071""",0,4.41,Knopf,Hardcover,480,2020,2020,,2023/08/07,to-read,to-read (#60),to-read,,,,0,0
40164365,The Friend,Sigrid Nunez,"Nunez, Sigrid",,"=""0735219451""","=""9780735219458""",0,3.77,Riverhead Books,Paperback,212,2019,2018,,2023/08/07,to-read,to-read (#59),to-read,,,,0,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.23,Del Rey,Paperback,193,2007,1979,,2023/08/07,to-read,to-read (#58),to-read,,,,0,0
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",0,4.12,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2023/08/07,to-read,to-read (#57),to-read,,,,0,0
89187,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""0441009425""","=""9780441009428""",0,3.99,Ace Books,Mass Market Paperback,585,2002,2000,,2023/08/07,to-read,to-read (#56),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2023/08/07,to-read,to-read (#55),to-read,,,,0,0
7150174,"The Strange Case of Origami Yoda (Origami Yoda, #1)",Tom Angleberger,"Angleberger, Tom",,"=""0810984253""","=""9780810984257""",0,3.91,Amulet Books,Hardcover,141,2010,2010,,2023/08/07,,,read,,,,1,0
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,3.95,Alfred A. Knopf,Paperback,503,2005,2002,,2023/08/07,,,read,,,,1,0
61294937,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,"Chakraborty, Shannon",,"=""""","=""""",0,4.28,Harper Voyager,Hardcover,483,2023,2023,,2023/08/07,to-read,to-read (#54),to-read,,,,0,0
762476,Kokoro,Natsume Sōseki,"Sōseki, Natsume",Edwin McClellan,"=""0809260956""","=""9780895267153""",0,4.04,Gateway Editions,Paperback,248,1996,1914,,2023/08/07,to-read,to-read (#53),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.29,Modern Library,Paperback,279,2000,1813,,2023/08/07,to-read,to-read (#52),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2023/08/07,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",4,4.27,Ace,Hardcover,658,2019,1965,,2020/03/10,,,read,,,,1,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2023/08/07,to-read,to-read (#51),to-read,,,,0,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""""",0,3.76,Hogarth,Kindle Edition,304,2017,2017,,2023/08/07,to-read,to-read (#50),to-read,,,,0,0
53317528,"Childhood / Youth / Dependency (The Copenhagen Trilogy, #1-3)",Tove Ditlevsen,"Ditlevsen, Tove","Tiina Nunnally, Michael Favala Goldman","=""0374602395""","=""9780374602390""",0,4.37,"Farrar, Straus and Giroux",Hardcover,371,2021,1967,,2023/08/07,to-read,to-read (#49),to-read,,,,0,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",0,4.30,Beacon Press,Paperback,288,2004,1979,,2023/08/07,to-read,to-read (#48),to-read,,,,0,0
38463,If Beale Street Could Talk,James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",0,4.27,Vintage,Paperback,197,2006,1974,,2023/08/07,to-read,to-read (#47),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.27,Penguin Books,Paperback,304,2019,1982,,2023/08/07,to-read,to-read (#46),to-read,,,,0,0
11334,Song of Solomon,Toni Morrison,"Morrison, Toni",,"=""140003342X""","=""9781400033423""",0,4.14,Vintage,Paperback,338,2004,1977,,2023/08/07,to-read,to-read (#45),to-read,,,,0,0
11346,Sula,Toni Morrison,"Morrison, Toni",,"=""0452283868""","=""9780452283862""",0,4.03,Plume,Paperback,174,2002,1973,,2023/08/07,to-read,to-read (#44),to-read,,,,0,0
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",0,3.96,Vintage,Paperback,324,2004,1987,,2023/08/07,to-read,to-read (#43),to-read,,,,0,0
